accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,label
29,1,4.745402,paypal,28.20486111,0
725,1,4.742303,storecredit,0,0
845,1,4.921318,creditcard,0,0
503,1,4.886641,creditcard,0,0
2000,1,5.040929,creditcard,0,0
119,1,4.962055,paypal,0,0
2000,1,4.921349,paypal,0,0
371,1,4.876771,creditcard,0,0
2000,1,4.748314,creditcard,0,0
4,1,4.461622,creditcard,0,0
26,1,4.745402,paypal,0,0
2000,1,4.505662,creditcard,0.000694444,0
3,1,4.962055,creditcard,2.690972222,0
3,1,4.921318,creditcard,2.069444444,0
23,1,4.745402,creditcard,0.001388889,0
5,1,4.921349,paypal,4.036111111,0
1208,1,4.836982,creditcard,0.000694444,0
11,1,4.921349,creditcard,10.86597222,0
123,1,4.748314,creditcard,0.000694444,0
2000,1,4.895263,creditcard,248.7743056,0
1672,1,5.034622,creditcard,978.7527778,0
36,1,4.742303,creditcard,0.014583333,0
16,1,4.886641,creditcard,15.79652778,0
278,1,5.034622,creditcard,6.892361111,0
223,1,4.748314,creditcard,0,0
30,1,4.057414,creditcard,0,0
2,1,4.921349,creditcard,0,0
2000,1,3.483951,creditcard,503.425,0
1936,1,4.057414,creditcard,635.6416667,0
2000,1,4.921318,creditcard,948.8069444,0
2,1,4.505662,creditcard,1.203472222,0
2000,1,4.836982,creditcard,0.001388889,0
998,1,4.921318,creditcard,0,0
914,1,4.461622,creditcard,0.005555556,0
23,1,2.596228,creditcard,0.000694444,0
2000,1,5.017904,creditcard,0,0
2,1,4.836982,creditcard,1.697222222,0
19,1,4.505662,paypal,0,0
18,1,4.965339,creditcard,0,0
1562,1,4.505662,creditcard,981.3465278,0
288,1,4.748314,paypal,0,0
310,1,4.965339,creditcard,96.94236111,0
2,1,4.921318,creditcard,0,0
2000,1,4.965339,storecredit,0,0
2,1,5.034622,creditcard,1.097916667,0
2000,1,4.52458,paypal,0.004861111,0
1144,1,4.876771,creditcard,1142.90625,0
1743,1,4.836982,creditcard,367.8138889,0
817,1,4.962055,creditcard,0.003472222,0
2000,1,4.742303,creditcard,0.006944444,0
179,1,4.921318,storecredit,0,0
2000,1,4.886641,storecredit,212.1402778,0
204,1,4.886641,creditcard,0.035416667,0
2000,1,4.748314,paypal,641.3215278,0
2000,1,4.965339,creditcard,348.3055556,0
546,1,4.895263,paypal,0.000694444,0
2000,1,4.921318,paypal,597.16875,0
1409,1,4.962055,creditcard,0.002777778,0
210,1,4.876771,creditcard,0,0
2000,1,4.745402,paypal,1034.671528,0
107,1,4.962055,creditcard,4.105555556,0
406,1,4.836982,creditcard,405.1361111,0
34,1,4.962055,creditcard,33.91111111,0
200,1,2.94894,creditcard,199.6208333,0
